ano_mes_ref;nom_municipio;sgl_uf;macro_regional_ipsemg;micro_regional_ipsemg;bh_rmbh_interior_ipsemg;dsc_sexo;desc_faixa_etaria;qtde_benef
202510;FREI INOCENCIO;MG;LESTE;GOVERNADOR VALADARES;INTERIOR;Masculino;00 - 18 ANOS;11
202510;BONITO DE MINAS;MG;NORTE;JANUARIA;INTERIOR;Feminino;34 - 38 ANOS;8
202510;ALBERTINA;MG;SUL;OURO FINO;INTERIOR;Feminino;59+ ANOS;13
202510;ANDRADAS;MG;SUL;POCOS DE CALDAS;INTERIOR;Masculino;54 - 58 ANOS;17
202510;NOVO HORIZONTE;SC;OUTROS_ESTADOS;OUTROS_ESTADOS;OUTROS_ESTADOS;Feminino;39 - 43 ANOS;1
202510;SAO VICENTE DE MINAS;MG;CENTRO SUL;SAO JOAO DEL REI;INTERIOR;Masculino;24 - 28 ANOS;2
202510;CATAGUASES;MG;SUDESTE;CATAGUASES;INTERIOR;Masculino;49 - 53 ANOS;37
202510;PATOS DE MINAS;MG;NOROESTE;PATOS DE MINAS;INTERIOR;Masculino;29 - 33 ANOS;213
202510;BAMBUI;MG;OESTE;FORMIGA;INTERIOR;Feminino;00 - 18 ANOS;51
202510;GONZAGA;MG;LESTE;GOVERNADOR VALADARES;INTERIOR;Masculino;34 - 38 ANOS;3
202510;PEDRA DO INDAIA;MG;OESTE;DIVINOPOLIS;INTERIOR;Feminino;49 - 53 ANOS;1
202510;PITANGUI;MG;OESTE;PARA DE MINAS;INTERIOR;Masculino;49 - 53 ANOS;22
202510;CRISTALIA;MG;NORTE;MONTES CLAROS;INTERIOR;Feminino;24 - 28 ANOS;14
202510;UBERABA;MG;TRIANGULO DO SUL;UBERABA;INTERIOR;Masculino;00 - 18 ANOS;330
202510;SAO FRANCISCO DO GLORIA;MG;SUDESTE;CARANGOLA;INTERIOR;Feminino;54 - 58 ANOS;12
202510;JESUANIA;MG;SUL;TRES CORACOES;INTERIOR;Feminino;59+ ANOS;61
202510;CANTAGALO;RJ;OUTROS_ESTADOS;OUTROS_ESTADOS;OUTROS_ESTADOS;Masculino;29 - 33 ANOS;1
202510;POTE;MG;NORDESTE;TEOFILO OTONI;INTERIOR;Feminino;49 - 53 ANOS;32
202510;ITAPAGIPE;MG;TRIANGULO DO SUL;FRUTAL;INTERIOR;Feminino;00 - 18 ANOS;5
202510;NATERCIA;MG;SUL;POUSO ALEGRE;INTERIOR;Masculino;34 - 38 ANOS;3
202510;SAO JOAO NEPOMUCENO;MG;SUDESTE;JUIZ DE FORA;INTERIOR;Masculino;44 - 48 ANOS;12
202510;PRESIDENTE JUSCELINO;MG;CENTRO;CURVELO;INTERIOR;Feminino;00 - 18 ANOS;2
202510;BELO VALE;MG;CENTRO;BELO HORIZONTE;INTERIOR;Feminino;19 - 23 ANOS;7
