ano_mes_ref;nom_municipio;sgl_uf;macro_regional_ipsemg;micro_regional_ipsemg;bh_rmbh_interior_ipsemg;dsc_sexo;desc_faixa_etaria;qtde_benef
202512;NOVO CRUZEIRO;MG;NORDESTE;NOVO CRUZEIRO;INTERIOR;Feminino;39 - 43 ANOS;55
202512;SAO GONCALO DO ABAETE;MG;NOROESTE;PATOS DE MINAS;INTERIOR;Masculino;59+ ANOS;36
202512;LUISLANDIA;MG;NORTE;BRASILIA DE MINAS;INTERIOR;Feminino;59+ ANOS;28
202512;JOSE RAYDAN;MG;LESTE;SANTA MARIA DO SUACUI;INTERIOR;Masculino;44 - 48 ANOS;10
202512;NINHEIRA;MG;NORTE;TAIOBEIRAS;INTERIOR;Feminino;19 - 23 ANOS;8
202512;CAMPO BELO;MG;OESTE;CAMPO BELO;INTERIOR;Masculino;00 - 18 ANOS;108
202512;TIROS;MG;NOROESTE;PATOS DE MINAS;INTERIOR;Feminino;59+ ANOS;83
202512;PATROCINIO DO MURIAE;MG;SUDESTE;MURIAE;INTERIOR;Feminino;19 - 23 ANOS;5
202512;PINTOPOLIS;MG;NORTE;SAO FRANCISCO;INTERIOR;Masculino;39 - 43 ANOS;5
202512;LUISBURGO;MG;LESTE DO SUL;MANHUACU;INTERIOR;Feminino;24 - 28 ANOS;4
202512;PASSABEM;MG;CENTRO;ITABIRA;INTERIOR;Feminino;49 - 53 ANOS;6
202512;ESPIRITO SANTO DO DOURADO;MG;SUL;POUSO ALEGRE;INTERIOR;Masculino;24 - 28 ANOS;4
202512;CARAI;MG;NORDESTE;NOVO CRUZEIRO;INTERIOR;Feminino;39 - 43 ANOS;27
202512;PRADOS;MG;CENTRO SUL;SAO JOAO DEL REI;INTERIOR;Masculino;49 - 53 ANOS;3
202512;SANTA ROSA DA SERRA;MG;NOROESTE;PATOS DE MINAS;INTERIOR;Feminino;59+ ANOS;38
202512;SAO JOSE DO ALEGRE;MG;SUL;ITAJUBA;INTERIOR;Feminino;59+ ANOS;37
202512;FRUTAL;MG;TRIANGULO DO SUL;FRUTAL;INTERIOR;Feminino;19 - 23 ANOS;17
202512;TIROS;MG;NOROESTE;PATOS DE MINAS;INTERIOR;Masculino;19 - 23 ANOS;4
202512;FRUTA DE LEITE;MG;NORTE;SALINAS;INTERIOR;Masculino;44 - 48 ANOS;6
202512;MATOZINHOS;MG;CENTRO;PEDRO LEOPOLDO;RMBH;Feminino;29 - 33 ANOS;69
202512;GUIMARANIA;MG;NOROESTE;PATOS DE MINAS;INTERIOR;Feminino;49 - 53 ANOS;12
202512;RIO NOVO;MG;SUDESTE;UBA;INTERIOR;Masculino;39 - 43 ANOS;1
202512;MONSENHOR PAULO;MG;SUL;VARGINHA;INTERIOR;Masculino;49 - 53 ANOS;6
202512;LAJINHA;MG;LESTE DO SUL;MANHUACU;INTERIOR;Masculino;39 - 43 ANOS;10
202512;DESCOBERTO;MG;SUDESTE;CATAGUASES;INTERIOR;Masculino;54 - 58 ANOS;4
202512;MATUTINA;MG;NOROESTE;PATOS DE MINAS;INTERIOR;Masculino;29 - 33 ANOS;4
202512;COIMBRA;MG;SUDESTE;UBA;INTERIOR;Feminino;19 - 23 ANOS;9
202512;BORDA DA MATA;MG;SUL;POUSO ALEGRE;INTERIOR;Masculino;54 - 58 ANOS;9
202512;CRISTALIA;MG;NORTE;MONTES CLAROS;INTERIOR;Masculino;39 - 43 ANOS;2
202512;JOAO PINHEIRO;MG;NOROESTE;JOAO PINHEIRO;INTERIOR;Masculino;19 - 23 ANOS;70
202512;SANTO ANTONIO DO AMPARO;MG;OESTE;OLIVEIRA;INTERIOR;Feminino;34 - 38 ANOS;19
202512;PAVAO;MG;NORDESTE;TEOFILO OTONI;INTERIOR;Masculino;59+ ANOS;52
202512;BONITO DE MINAS;MG;NORTE;JANUARIA;INTERIOR;Masculino;44 - 48 ANOS;6
202512;PAULA CANDIDO;MG;LESTE DO SUL;VICOSA;INTERIOR;Feminino;34 - 38 ANOS;11
202512;MONTE BELO;MG;SUL;ALFENAS;INTERIOR;Feminino;54 - 58 ANOS;16
202512;CRUZILIA;MG;SUL;SAO LOURENCO;INTERIOR;Masculino;24 - 28 ANOS;14
202512;IGUATAMA;MG;OESTE;FORMIGA;INTERIOR;Feminino;29 - 33 ANOS;4
202512;PONTE NOVA;MG;LESTE DO SUL;PONTE NOVA;INTERIOR;Feminino;24 - 28 ANOS;57
202512;PIRANGUINHO;MG;SUL;ITAJUBA;INTERIOR;Masculino;29 - 33 ANOS;4
202512;UBA;MG;SUDESTE;UBA;INTERIOR;Masculino;00 - 18 ANOS;257
202512;GUARACIAMA;MG;NORTE;MONTES CLAROS;INTERIOR;Feminino;59+ ANOS;34
202512;SAO SEBASTIAO DO ANTA;MG;LESTE;CARATINGA;INTERIOR;Masculino;00 - 18 ANOS;14
202512;PIEDADE DE PONTE NOVA;MG;LESTE DO SUL;PONTE NOVA;INTERIOR;Masculino;44 - 48 ANOS;1
202512;LIBERDADE;MG;SUDESTE;JUIZ DE FORA;INTERIOR;Feminino;00 - 18 ANOS;1
202512;BRUMADINHO;MG;CENTRO;BETIM;RMBH;Feminino;54 - 58 ANOS;46
202512;SERITINGA;MG;SUL;SAO LOURENCO;INTERIOR;Feminino;49 - 53 ANOS;3
202512;ITAOBIM;MG;NORDESTE;JEQUITINHONHA;INTERIOR;Masculino;29 - 33 ANOS;33
202512;CARNEIRINHO;MG;TRIANGULO DO SUL;FRUTAL;INTERIOR;Masculino;24 - 28 ANOS;3
202512;BOM DESPACHO;MG;OESTE;BOM DESPACHO;INTERIOR;Masculino;34 - 38 ANOS;56
202512;RITAPOLIS;MG;CENTRO SUL;SAO JOAO DEL REI;INTERIOR;Feminino;19 - 23 ANOS;1
202512;SAO GOTARDO;MG;NOROESTE;PATOS DE MINAS;INTERIOR;Masculino;00 - 18 ANOS;56
202512;EUNAPOLIS;BA;OUTROS_ESTADOS;OUTROS_ESTADOS;OUTROS_ESTADOS;Masculino;59+ ANOS;1
202512;PIRANGA;MG;CENTRO SUL;CONSELHEIRO LAFAIETE;INTERIOR;Masculino;29 - 33 ANOS;25
202512;VALENCA;BA;OUTROS_ESTADOS;OUTROS_ESTADOS;OUTROS_ESTADOS;Feminino;29 - 33 ANOS;1
202512;CHACARA;MG;SUDESTE;JUIZ DE FORA;INTERIOR;Feminino;34 - 38 ANOS;1
202512;MURIAE;MG;SUDESTE;MURIAE;INTERIOR;Masculino;00 - 18 ANOS;471
202512;FELIXLANDIA;MG;CENTRO;CURVELO;INTERIOR;Feminino;00 - 18 ANOS;28
202512;CENTRAL DE MINAS;MG;LESTE;GOVERNADOR VALADARES;INTERIOR;Feminino;54 - 58 ANOS;8
202512;DURANDE;MG;LESTE DO SUL;MANHUACU;INTERIOR;Masculino;00 - 18 ANOS;31
202512;RIO ACIMA;MG;CENTRO;BELO HORIZONTE;RMBH;Feminino;24 - 28 ANOS;6
202512;JANAUBA;MG;NORTE;JANAUBA;INTERIOR;Masculino;59+ ANOS;361
202512;CRISTINA;MG;SUL;ITAJUBA;INTERIOR;Masculino;29 - 33 ANOS;6
202512;RODEIRO;MG;SUDESTE;UBA;INTERIOR;Feminino;54 - 58 ANOS;11
202512;ITAIPE;MG;NORDESTE;NOVO CRUZEIRO;INTERIOR;Feminino;44 - 48 ANOS;23
202512;DIOGO DE VASCONCELOS;MG;LESTE DO SUL;PONTE NOVA;INTERIOR;Feminino;44 - 48 ANOS;4
202512;PEIXE;TO;OUTROS_ESTADOS;OUTROS_ESTADOS;OUTROS_ESTADOS;Feminino;59+ ANOS;1
202512;DOM JOAQUIM;MG;CENTRO;GUANHAES;INTERIOR;Feminino;59+ ANOS;76
202512;OURO VERDE DE MINAS;MG;NORDESTE;TEOFILO OTONI;INTERIOR;Masculino;19 - 23 ANOS;6
202512;SOLEDADE DE MINAS;MG;SUL;SAO LOURENCO;INTERIOR;Feminino;49 - 53 ANOS;5
202512;CABECEIRA GRANDE;MG;NOROESTE;UNAI;INTERIOR;Feminino;44 - 48 ANOS;3
202512;ESTRELA DO INDAIA;MG;OESTE;BOM DESPACHO;INTERIOR;Masculino;19 - 23 ANOS;1
202512;INDIANOPOLIS;MG;TRIANGULO DO NORTE;UBERLANDIA;INTERIOR;Feminino;00 - 18 ANOS;4
202512;CONCEICAO DOS OUROS;MG;SUL;POUSO ALEGRE;INTERIOR;Feminino;39 - 43 ANOS;10
202512;GUARULHOS;SP;OUTROS_ESTADOS;OUTROS_ESTADOS;OUTROS_ESTADOS;Masculino;59+ ANOS;2
202512;DOM VICOSO;MG;SUL;SAO LOURENCO;INTERIOR;Feminino;49 - 53 ANOS;2
202512;MATIAS BARBOSA;MG;SUDESTE;JUIZ DE FORA;INTERIOR;Feminino;00 - 18 ANOS;8
202512;CRISOLITA;MG;NORDESTE;AGUAS FORMOSAS;INTERIOR;Masculino;19 - 23 ANOS;6
202512;GRAO MOGOL;MG;NORTE;MONTES CLAROS;INTERIOR;Feminino;59+ ANOS;75
202512;ITAPEVA;MG;SUL;EXTREMA;INTERIOR;Feminino;24 - 28 ANOS;4
202512;MARIANA;MG;CENTRO;OURO PRETO;INTERIOR;Feminino;19 - 23 ANOS;26
202512;TEOFILO OTONI;MG;NORDESTE;TEOFILO OTONI;INTERIOR;Feminino;29 - 33 ANOS;282
202512;ESPIRITO SANTO DO DOURADO;MG;SUL;POUSO ALEGRE;INTERIOR;Feminino;00 - 18 ANOS;14
202512;VERISSIMO;MG;TRIANGULO DO SUL;UBERABA;INTERIOR;Feminino;00 - 18 ANOS;3
202512;MUNICIPIO NAO LOCALIZADO;--;NAO_INFORMADO;NAO_INFORMADO;NAO_INFORMADO;Feminino;49 - 53 ANOS;581
202512;CARRANCAS;MG;SUL;LAVRAS;INTERIOR;Feminino;39 - 43 ANOS;4
202512;JOANESIA;MG;LESTE;IPATINGA;INTERIOR;Feminino;24 - 28 ANOS;12
202512;MATHIAS LOBATO;MG;LESTE;GOVERNADOR VALADARES;INTERIOR;Feminino;24 - 28 ANOS;2
202512;CORONEL XAVIER CHAVES;MG;CENTRO SUL;SAO JOAO DEL REI;INTERIOR;Feminino;44 - 48 ANOS;5
202512;PRATINHA;MG;TRIANGULO DO SUL;ARAXA;INTERIOR;Feminino;49 - 53 ANOS;8
202512;FRUTAL;MG;TRIANGULO DO SUL;FRUTAL;INTERIOR;Feminino;24 - 28 ANOS;27
202512;TIROS;MG;NOROESTE;PATOS DE MINAS;INTERIOR;Masculino;24 - 28 ANOS;6
202512;CAPARAO;MG;SUDESTE;CARANGOLA;INTERIOR;Masculino;29 - 33 ANOS;9
