ano_mes_ref;nom_municipio;sgl_uf;macro_regional_ipsemg;micro_regional_ipsemg;bh_rmbh_interior_ipsemg;dsc_sexo;desc_faixa_etaria;qtde_benef
202606;MARIO CAMPOS;MG;CENTRO;BETIM;RMBH;Feminino;19 - 23 ANOS;8
202601;UBAI;MG;NORTE;BRASILIA DE MINAS;INTERIOR;Masculino;19 - 23 ANOS;23
202606;JEQUITAI;MG;NORTE;PIRAPORA;INTERIOR;Masculino;00 - 18 ANOS;22
202607;SAO FRANCISCO DO GLORIA;MG;SUDESTE;CARANGOLA;INTERIOR;Feminino;39 - 43 ANOS;13
202603;PAINS;MG;OESTE;FORMIGA;INTERIOR;Masculino;54 - 58 ANOS;4
202606;PERDIGAO;MG;OESTE;DIVINOPOLIS;INTERIOR;Feminino;24 - 28 ANOS;9
202605;SAO GONCALO DO ABAETE;MG;NOROESTE;PATOS DE MINAS;INTERIOR;Feminino;44 - 48 ANOS;9
202602;CONCEICAO DAS ALAGOAS;MG;TRIANGULO DO SUL;UBERABA;INTERIOR;Feminino;24 - 28 ANOS;8
202603;ALEM PARAIBA;MG;SUDESTE;CATAGUASES;INTERIOR;Feminino;54 - 58 ANOS;34
202601;PORTO ALEGRE;RS;OUTROS_ESTADOS;OUTROS_ESTADOS;OUTROS_ESTADOS;Masculino;59+ ANOS;1
202603;CHALE;MG;LESTE DO SUL;MANHUACU;INTERIOR;Masculino;24 - 28 ANOS;15
202602;ALVINOPOLIS;MG;LESTE DO SUL;PONTE NOVA;INTERIOR;Feminino;19 - 23 ANOS;14
202605;ALEM PARAIBA;MG;SUDESTE;CATAGUASES;INTERIOR;Masculino;00 - 18 ANOS;17
202601;BANDEIRA DO SUL;MG;SUL;POCOS DE CALDAS;INTERIOR;Feminino;54 - 58 ANOS;5
202607;FORTUNA DE MINAS;MG;CENTRO;SETE LAGOAS;INTERIOR;Masculino;19 - 23 ANOS;2
202603;SAO PAULO;SP;OUTROS_ESTADOS;OUTROS_ESTADOS;OUTROS_ESTADOS;Feminino;24 - 28 ANOS;3
202602;PRUDENTE DE MORAIS;MG;CENTRO;SETE LAGOAS;INTERIOR;Feminino;44 - 48 ANOS;18
202607;SANTA MARIA DO SUACUI;MG;LESTE;SANTA MARIA DO SUACUI;INTERIOR;Masculino;59+ ANOS;127
202608;SOBRALIA;MG;LESTE;GOVERNADOR VALADARES;INTERIOR;Feminino;49 - 53 ANOS;9
202604;ITABIRITO;MG;CENTRO;OURO PRETO;INTERIOR;Masculino;39 - 43 ANOS;7
202602;SAO JOAO DO MANTENINHA;MG;LESTE;MANTENA;INTERIOR;Feminino;19 - 23 ANOS;5
202603;PEQUI;MG;CENTRO;SETE LAGOAS;INTERIOR;Feminino;29 - 33 ANOS;13
202603;SARDOA;MG;LESTE;GOVERNADOR VALADARES;INTERIOR;Masculino;00 - 18 ANOS;8
202603;SAO FRANCISCO;PB;OUTROS_ESTADOS;OUTROS_ESTADOS;OUTROS_ESTADOS;Feminino;54 - 58 ANOS;25
202601;SANTA CRUZ DO ESCALVADO;MG;LESTE DO SUL;PONTE NOVA;INTERIOR;Feminino;19 - 23 ANOS;2
