ano_mes_ref;nom_municipio;sgl_uf;macro_regional_ipsemg;micro_regional_ipsemg;bh_rmbh_interior_ipsemg;dsc_sexo;desc_faixa_etaria;qtde_benef
202512;JEQUITIBA;MG;CENTRO;SETE LAGOAS;INTERIOR;Masculino;24 - 28 ANOS;6
202512;IGUATAMA;MG;OESTE;FORMIGA;INTERIOR;Masculino;59+ ANOS;45
202512;PERIQUITO;MG;LESTE;GOVERNADOR VALADARES;INTERIOR;Feminino;34 - 38 ANOS;1
202512;SAO BENTO ABADE;MG;SUL;TRES CORACOES;INTERIOR;Feminino;54 - 58 ANOS;3
202512;SAO FRANCISCO DE SALES;MG;TRIANGULO DO SUL;FRUTAL;INTERIOR;Feminino;44 - 48 ANOS;2
202512;PIRAJUBA;MG;TRIANGULO DO SUL;UBERABA;INTERIOR;Feminino;34 - 38 ANOS;1
202512;BELMIRO BRAGA;MG;SUDESTE;JUIZ DE FORA;INTERIOR;Masculino;29 - 33 ANOS;5
202512;DORES DE GUANHAES;MG;CENTRO;GUANHAES;INTERIOR;Masculino;19 - 23 ANOS;11
202512;IBERTIOGA;MG;CENTRO SUL;BARBACENA;INTERIOR;Masculino;24 - 28 ANOS;5
202512;RIO VERMELHO;MG;CENTRO;GUANHAES;INTERIOR;Feminino;19 - 23 ANOS;14
202512;SENHORA DO PORTO;MG;CENTRO;GUANHAES;INTERIOR;Masculino;54 - 58 ANOS;1
202512;IPABA;MG;LESTE;IPATINGA;INTERIOR;Masculino;49 - 53 ANOS;21
202512;VARGEM BONITA;MG;SUL;PIUMHI;INTERIOR;Masculino;19 - 23 ANOS;5
202512;VIEIRAS;MG;SUDESTE;MURIAE;INTERIOR;Feminino;34 - 38 ANOS;6
202512;LUCENA;PB;OUTROS_ESTADOS;OUTROS_ESTADOS;OUTROS_ESTADOS;Feminino;59+ ANOS;1
202512;SANTO ANTONIO DO JACINTO;MG;NORDESTE;ALMENARA;INTERIOR;Masculino;29 - 33 ANOS;14
202512;RUBELITA;MG;NORTE;SALINAS;INTERIOR;Feminino;34 - 38 ANOS;8
202512;POUSO ALTO;MG;SUL;SAO LOURENCO;INTERIOR;Feminino;39 - 43 ANOS;3
202512;ITABIRA;MG;CENTRO;ITABIRA;INTERIOR;Masculino;39 - 43 ANOS;22
202512;CAMPOS ALTOS;MG;TRIANGULO DO SUL;ARAXA;INTERIOR;Masculino;49 - 53 ANOS;9
202512;BELO ORIENTE;MG;LESTE;IPATINGA;INTERIOR;Feminino;24 - 28 ANOS;15
202512;SABARA;MG;CENTRO;CAETE;RMBH;Feminino;29 - 33 ANOS;139
202512;TUPACIGUARA;MG;TRIANGULO DO NORTE;ARAGUARI;INTERIOR;Feminino;54 - 58 ANOS;34
202512;ACAILANDIA;MA;OUTROS_ESTADOS;OUTROS_ESTADOS;OUTROS_ESTADOS;Feminino;59+ ANOS;1
202512;JAGUARACU;MG;LESTE;CORONEL FABRICIANO;INTERIOR;Masculino;29 - 33 ANOS;2
202512;BURITIZEIRO;MG;NORTE;PIRAPORA;INTERIOR;Masculino;59+ ANOS;98
202512;ITINGA;MG;NORDESTE;ARACUAI;INTERIOR;Feminino;00 - 18 ANOS;41
202512;COMENDADOR GOMES;MG;TRIANGULO DO SUL;FRUTAL;INTERIOR;Feminino;29 - 33 ANOS;1
202512;CANAPOLIS;MG;TRIANGULO DO NORTE;ITUIUTABA;INTERIOR;Feminino;19 - 23 ANOS;10
202512;ABRE CAMPO;MG;LESTE DO SUL;RAUL SOARES;INTERIOR;Feminino;19 - 23 ANOS;22
202512;SANTO ANTONIO DO GRAMA;MG;LESTE DO SUL;PONTE NOVA;INTERIOR;Masculino;19 - 23 ANOS;3
