"ano_mes_ref","nom_municipio","sgl_uf","macro_regional_ipsemg","micro_regional_ipsemg","bh_rmbh_interior_ipsemg","dsc_sexo","desc_faixa_etaria","qtde_benef"
"202505","ABADIA DOS DOURADOS","MG","TRIANGULO DO NORTE","MONTE CARMELO","INTERIOR","Feminino","00 - 18 ANOS",12
"202505","ABADIA DOS DOURADOS","MG","TRIANGULO DO NORTE","MONTE CARMELO","INTERIOR","Feminino","19 - 23 ANOS",4
"202505","ABADIA DOS DOURADOS","MG","TRIANGULO DO NORTE","MONTE CARMELO","INTERIOR","Feminino","24 - 28 ANOS",5
"202505","ABADIA DOS DOURADOS","MG","TRIANGULO DO NORTE","MONTE CARMELO","INTERIOR","Feminino","29 - 33 ANOS",13
"202505","ABADIA DOS DOURADOS","MG","TRIANGULO DO NORTE","MONTE CARMELO","INTERIOR","Feminino","34 - 38 ANOS",3
"202505","ABADIA DOS DOURADOS","MG","TRIANGULO DO NORTE","MONTE CARMELO","INTERIOR","Feminino","39 - 43 ANOS",2
"202505","ABADIA DOS DOURADOS","MG","TRIANGULO DO NORTE","MONTE CARMELO","INTERIOR","Feminino","44 - 48 ANOS",12
"202505","ABADIA DOS DOURADOS","MG","TRIANGULO DO NORTE","MONTE CARMELO","INTERIOR","Feminino","49 - 53 ANOS",9
"202505","ABADIA DOS DOURADOS","MG","TRIANGULO DO NORTE","MONTE CARMELO","INTERIOR","Feminino","54 - 58 ANOS",7
"202505","ABADIA DOS DOURADOS","MG","TRIANGULO DO NORTE","MONTE CARMELO","INTERIOR","Feminino","59+ ANOS",60
"202505","ABADIA DOS DOURADOS","MG","TRIANGULO DO NORTE","MONTE CARMELO","INTERIOR","Masculino","00 - 18 ANOS",7
"202505","ABADIA DOS DOURADOS","MG","TRIANGULO DO NORTE","MONTE CARMELO","INTERIOR","Masculino","19 - 23 ANOS",8
"202505","ABADIA DOS DOURADOS","MG","TRIANGULO DO NORTE","MONTE CARMELO","INTERIOR","Masculino","24 - 28 ANOS",3
"202505","ABADIA DOS DOURADOS","MG","TRIANGULO DO NORTE","MONTE CARMELO","INTERIOR","Masculino","29 - 33 ANOS",13
"202505","ABADIA DOS DOURADOS","MG","TRIANGULO DO NORTE","MONTE CARMELO","INTERIOR","Masculino","34 - 38 ANOS",3
"202505","ABADIA DOS DOURADOS","MG","TRIANGULO DO NORTE","MONTE CARMELO","INTERIOR","Masculino","39 - 43 ANOS",3
"202505","ABADIA DOS DOURADOS","MG","TRIANGULO DO NORTE","MONTE CARMELO","INTERIOR","Masculino","44 - 48 ANOS",5
"202505","ABADIA DOS DOURADOS","MG","TRIANGULO DO NORTE","MONTE CARMELO","INTERIOR","Masculino","49 - 53 ANOS",7
"202505","ABADIA DOS DOURADOS","MG","TRIANGULO DO NORTE","MONTE CARMELO","INTERIOR","Masculino","54 - 58 ANOS",4
"202505","ABADIA DOS DOURADOS","MG","TRIANGULO DO NORTE","MONTE CARMELO","INTERIOR","Masculino","59+ ANOS",36
"202505","ABADIANIA","GO","FORAMG","FORAMG","FORAMG","Feminino","59+ ANOS",2
"202505","ABADIANIA","GO","FORAMG","FORAMG","FORAMG","Masculino","59+ ANOS",1
"202505","ABAETE","MG","CENTRO","ABAETE","INTERIOR","Feminino","00 - 18 ANOS",52
"202505","ABAETE","MG","CENTRO","ABAETE","INTERIOR","Feminino","19 - 23 ANOS",22
"202505","ABAETE","MG","CENTRO","ABAETE","INTERIOR","Feminino","24 - 28 ANOS",26
"202505","ABAETE","MG","CENTRO","ABAETE","INTERIOR","Feminino","29 - 33 ANOS",34
"202505","ABAETE","MG","CENTRO","ABAETE","INTERIOR","Feminino","34 - 38 ANOS",10
"202505","ABAETE","MG","CENTRO","ABAETE","INTERIOR","Feminino","39 - 43 ANOS",30
"202505","ABAETE","MG","CENTRO","ABAETE","INTERIOR","Feminino","44 - 48 ANOS",36
"202505","ABAETE","MG","CENTRO","ABAETE","INTERIOR","Feminino","49 - 53 ANOS",34
"202505","ABAETE","MG","CENTRO","ABAETE","INTERIOR","Feminino","54 - 58 ANOS",43
"202505","ABAETE","MG","CENTRO","ABAETE","INTERIOR","Feminino","59+ ANOS",320
"202505","ABAETE","MG","CENTRO","ABAETE","INTERIOR","Masculino","00 - 18 ANOS",56
"202505","ABAETE","MG","CENTRO","ABAETE","INTERIOR","Masculino","19 - 23 ANOS",27
"202505","ABAETE","MG","CENTRO","ABAETE","INTERIOR","Masculino","24 - 28 ANOS",29
"202505","ABAETE","MG","CENTRO","ABAETE","INTERIOR","Masculino","29 - 33 ANOS",34
"202505","ABAETE","MG","CENTRO","ABAETE","INTERIOR","Masculino","34 - 38 ANOS",20
"202505","ABAETE","MG","CENTRO","ABAETE","INTERIOR","Masculino","39 - 43 ANOS",30
"202505","ABAETE","MG","CENTRO","ABAETE","INTERIOR","Masculino","44 - 48 ANOS",24
"202505","ABAETE","MG","CENTRO","ABAETE","INTERIOR","Masculino","49 - 53 ANOS",17
"202505","ABAETE","MG","CENTRO","ABAETE","INTERIOR","Masculino","54 - 58 ANOS",14
"202505","ABAETE","MG","CENTRO","ABAETE","INTERIOR","Masculino","59+ ANOS",193
"202505","ABRE CAMPO","MG","LESTE DO SUL","RAUL SOARES","INTERIOR","Feminino","00 - 18 ANOS",42
"202505","ABRE CAMPO","MG","LESTE DO SUL","RAUL SOARES","INTERIOR","Feminino","19 - 23 ANOS",26
"202505","ABRE CAMPO","MG","LESTE DO SUL","RAUL SOARES","INTERIOR","Feminino","24 - 28 ANOS",32
"202505","ABRE CAMPO","MG","LESTE DO SUL","RAUL SOARES","INTERIOR","Feminino","29 - 33 ANOS",37
"202505","ABRE CAMPO","MG","LESTE DO SUL","RAUL SOARES","INTERIOR","Feminino","34 - 38 ANOS",19
"202505","ABRE CAMPO","MG","LESTE DO SUL","RAUL SOARES","INTERIOR","Feminino","39 - 43 ANOS",18
"202505","ABRE CAMPO","MG","LESTE DO SUL","RAUL SOARES","INTERIOR","Feminino","44 - 48 ANOS",32
"202505","ABRE CAMPO","MG","LESTE DO SUL","RAUL SOARES","INTERIOR","Feminino","49 - 53 ANOS",28
"202505","ABRE CAMPO","MG","LESTE DO SUL","RAUL SOARES","INTERIOR","Feminino","54 - 58 ANOS",40
"202505","ABRE CAMPO","MG","LESTE DO SUL","RAUL SOARES","INTERIOR","Feminino","59+ ANOS",139
"202505","ABRE CAMPO","MG","LESTE DO SUL","RAUL SOARES","INTERIOR","Masculino","00 - 18 ANOS",34
"202505","ABRE CAMPO","MG","LESTE DO SUL","RAUL SOARES","INTERIOR","Masculino","19 - 23 ANOS",23
"202505","ABRE CAMPO","MG","LESTE DO SUL","RAUL SOARES","INTERIOR","Masculino","24 - 28 ANOS",26
"202505","ABRE CAMPO","MG","LESTE DO SUL","RAUL SOARES","INTERIOR","Masculino","29 - 33 ANOS",26
"202505","ABRE CAMPO","MG","LESTE DO SUL","RAUL SOARES","INTERIOR","Masculino","34 - 38 ANOS",7
"202505","ABRE CAMPO","MG","LESTE DO SUL","RAUL SOARES","INTERIOR","Masculino","39 - 43 ANOS",6
"202505","ABRE CAMPO","MG","LESTE DO SUL","RAUL SOARES","INTERIOR","Masculino","44 - 48 ANOS",17
"202505","ABRE CAMPO","MG","LESTE DO SUL","RAUL SOARES","INTERIOR","Masculino","49 - 53 ANOS",19
"202505","ABRE CAMPO","MG","LESTE DO SUL","RAUL SOARES","INTERIOR","Masculino","54 - 58 ANOS",20
"202505","ABRE CAMPO","MG","LESTE DO SUL","RAUL SOARES","INTERIOR","Masculino","59+ ANOS",86
"202505","ACAIACA","MG","LESTE DO SUL","PONTE NOVA","INTERIOR","Feminino","00 - 18 ANOS",10
"202505","ACAIACA","MG","LESTE DO SUL","PONTE NOVA","INTERIOR","Feminino","19 - 23 ANOS",8
"202505","ACAIACA","MG","LESTE DO SUL","PONTE NOVA","INTERIOR","Feminino","24 - 28 ANOS",10
"202505","ACAIACA","MG","LESTE DO SUL","PONTE NOVA","INTERIOR","Feminino","29 - 33 ANOS",8
"202505","ACAIACA","MG","LESTE DO SUL","PONTE NOVA","INTERIOR","Feminino","34 - 38 ANOS",5
"202505","ACAIACA","MG","LESTE DO SUL","PONTE NOVA","INTERIOR","Feminino","39 - 43 ANOS",5
"202505","ACAIACA","MG","LESTE DO SUL","PONTE NOVA","INTERIOR","Feminino","44 - 48 ANOS",7
"202505","ACAIACA","MG","LESTE DO SUL","PONTE NOVA","INTERIOR","Feminino","49 - 53 ANOS",11
